subcategory_id,subcategory
sub_cat01,food trucks
sub_cat02,rock
sub_cat03,web
sub_cat04,plays
sub_cat05,documentary
sub_cat06,electric music
sub_cat07,drama
sub_cat08,indie rock
sub_cat09,wearables
sub_cat010,nonfiction
sub_cat011,animation
sub_cat012,video games
sub_cat013,shorts
sub_cat014,fiction
sub_cat015,photography books
sub_cat016,radio & podcasts
sub_cat017,metal
sub_cat018,jazz
sub_cat019,translations
sub_cat020,television
sub_cat021,mobile games
sub_cat022,world music
sub_cat023,science fiction
sub_cat024,audio
